"","Site","wrackline","variable","value"
"132","D","New","Eelgrass",0
"133","E","New","Eelgrass",0.011
"134","F","New","Eelgrass",0.017
"135","G","New","Eelgrass",0.001
"136","H","New","Eelgrass",0
"137","K","New","Eelgrass",0.024
"138","L","New","Eelgrass",0.001
"139","M","New","Eelgrass",0.01
"140","N","New","Eelgrass",0.004
"141","P","New","Eelgrass",0.04
"142","S","New","Eelgrass",0.011
"143","U","New","Eelgrass",0.266
"144","Z","New","Eelgrass",0.014
"145","A","Old","Eelgrass",0.04
"146","B","Old","Eelgrass",0.011
"147","C","Old","Eelgrass",0.009
"148","D","Old","Eelgrass",0
"149","E","Old","Eelgrass",0.047
"150","F","Old","Eelgrass",0.038
"151","G","Old","Eelgrass",0.007
"152","H","Old","Eelgrass",0
"153","K","Old","Eelgrass",0.054
"154","L","Old","Eelgrass",0.017
"155","M","Old","Eelgrass",0.031
"156","N","Old","Eelgrass",0.01
"157","P","Old","Eelgrass",0.032
"158","S","Old","Eelgrass",0.002
"159","U","Old","Eelgrass",0.028
"160","Z","Old","Eelgrass",0.055
"161","A","New","Terrestrial Plants",0.086
"162","B","New","Terrestrial Plants",0.017
"163","C","New","Terrestrial Plants",0.005
"164","D","New","Terrestrial Plants",0.004
"165","E","New","Terrestrial Plants",0.133
"166","F","New","Terrestrial Plants",0.079
"167","G","New","Terrestrial Plants",0.016
"168","H","New","Terrestrial Plants",0
"169","K","New","Terrestrial Plants",0.014
"170","L","New","Terrestrial Plants",0
"171","M","New","Terrestrial Plants",0.059
"172","N","New","Terrestrial Plants",0.046
"173","P","New","Terrestrial Plants",0.014
"174","S","New","Terrestrial Plants",0.003
"175","U","New","Terrestrial Plants",0.015
"176","Z","New","Terrestrial Plants",0.017
"177","A","Old","Terrestrial Plants",0.478
"178","B","Old","Terrestrial Plants",0.036
"179","C","Old","Terrestrial Plants",0.021
"180","D","Old","Terrestrial Plants",0.068
"181","E","Old","Terrestrial Plants",0.328
"182","F","Old","Terrestrial Plants",0.212
"183","G","Old","Terrestrial Plants",0.087
"184","H","Old","Terrestrial Plants",0.044
"185","K","Old","Terrestrial Plants",0.083
"186","L","Old","Terrestrial Plants",0.2
"187","M","Old","Terrestrial Plants",0.07
"188","N","Old","Terrestrial Plants",0.055
"189","P","Old","Terrestrial Plants",0.388
"190","S","Old","Terrestrial Plants",0.05
"191","U","Old","Terrestrial Plants",0.025
"192","Z","Old","Terrestrial Plants",0.126
"193","A","New","Trash",0
"194","B","New","Trash",0
"195","C","New","Trash",0
"196","D","New","Trash",0
"197","E","New","Trash",0
"198","F","New","Trash",0.005
"199","G","New","Trash",0
"200","H","New","Trash",0
"201","K","New","Trash",0.001
"202","L","New","Trash",0
"203","M","New","Trash",0
"204","N","New","Trash",0
"205","P","New","Trash",0
"206","S","New","Trash",0
"207","U","New","Trash",0.004
"208","Z","New","Trash",0
"209","A","Old","Trash",0.004
"210","B","Old","Trash",0
"211","C","Old","Trash",0.016
"212","D","Old","Trash",0
"213","E","Old","Trash",0.004
"214","F","Old","Trash",0.004
"215","G","Old","Trash",0.017
"216","H","Old","Trash",0.002
"217","K","Old","Trash",0.007
"218","L","Old","Trash",0.068
"219","M","Old","Trash",0.001
"220","N","Old","Trash",0
"221","P","Old","Trash",0.003
"222","S","Old","Trash",0.001
"223","U","Old","Trash",0
"224","Z","Old","Trash",0
"225","A","New","Absent",0.645
"226","B","New","Absent",0.764
"227","C","New","Absent",0.734
"228","D","New","Absent",0.945
"229","E","New","Absent",0.361
"230","F","New","Absent",0.462
"231","G","New","Absent",0.0469999999999999
"232","H","New","Absent",0.456
"233","K","New","Absent",0.61
"234","L","New","Absent",0.525
"235","M","New","Absent",0.71
"236","N","New","Absent",0.808
"237","P","New","Absent",0.249
"238","S","New","Absent",0.265
"239","U","New","Absent",0.695
"240","Z","New","Absent",0.0629999999999999
"241","A","Old","Absent",0.478
"242","B","Old","Absent",0.742
"243","C","Old","Absent",0.881
"244","D","Old","Absent",0.838
"245","E","Old","Absent",0.355
"246","F","Old","Absent",0.559
"247","G","Old","Absent",0.755
"248","H","Old","Absent",0.879
"249","K","Old","Absent",0.573
"250","L","Old","Absent",0.517
"251","M","Old","Absent",0.818
"252","N","Old","Absent",0.912
"253","P","Old","Absent",0.272
"254","S","Old","Absent",0.825
"255","U","Old","Absent",0.945
"256","Z","Old","Absent",0.806
