"","site","elevation_ft","width_ft","Biology","Presence","Bio.Colors"
"105","F",-0.708696000000001,162.937741,"Red_Algae",1,"firebrick"
"106","F",-0.708696000000001,162.937741,"Barnacles",1,"bisque2"
"107","F",-0.708696000000001,162.937741,"Tube_Worms",1,"gold"
"108","F",-0.954771000000001,166.021881,"Green_Algae",1,"seagreen"
"109","F",-0.954771000000001,166.021881,"Red_Algae",1,"firebrick"
"110","F",-0.954771000000001,166.021881,"Barnacles",1,"bisque2"
"111","F",-1.105697,168.945252,"Green_Algae",1,"seagreen"
"112","F",-1.105697,168.945252,"Red_Algae",1,"firebrick"
"113","F",-1.105697,168.945252,"Barnacles",1,"bisque2"
"114","F",-1.105697,168.945252,"Tube_Worms",1,"gold"
"115","F",-1.236937,171.766912,"Green_Algae",1,"seagreen"
"116","F",-1.236937,171.766912,"Brown_Algae",1,"chocolate4"
"117","F",-1.236937,171.766912,"Red_Algae",1,"firebrick"
"118","F",-1.236937,171.766912,"Barnacles",1,"bisque2"
"119","F",-1.236937,171.766912,"Tube_Worms",1,"gold"
"120","F",-1.384582,174.670597,"Green_Algae",1,"seagreen"
"121","F",-1.384582,174.670597,"Brown_Algae",1,"chocolate4"
"122","F",-1.384582,174.670597,"Red_Algae",1,"firebrick"
"123","F",-1.384582,174.670597,"Barnacles",1,"bisque2"
"124","F",-1.384582,174.670597,"Tube_Worms",1,"gold"
"125","F",-1.384582,174.670597,"Anemone",1,"orange"
"126","F",-1.483012,177.505381,"Green_Algae",1,"seagreen"
"127","F",-1.483012,177.505381,"Brown_Algae",1,"chocolate4"
"128","F",-1.483012,177.505381,"Red_Algae",1,"firebrick"
"129","F",-1.483012,177.505381,"Barnacles",1,"bisque2"
"130","F",-1.483012,177.505381,"Tube_Worms",1,"gold"
"131","F",-1.614252,180.638736,"Green_Algae",1,"seagreen"
"132","F",-1.614252,180.638736,"Brown_Algae",1,"chocolate4"
"133","F",-1.614252,180.638736,"Red_Algae",1,"firebrick"
"134","F",-1.614252,180.638736,"Barnacles",1,"bisque2"
"135","F",-1.614252,180.638736,"Tube_Worms",1,"gold"
"136","F",-1.647062,183.693347,"Green_Algae",1,"seagreen"
"137","F",-1.647062,183.693347,"Red_Algae",1,"firebrick"
"138","F",-1.647062,183.693347,"Barnacles",1,"bisque2"
"139","F",-1.647062,183.693347,"Tube_Worms",1,"gold"
"140","F",-1.742211,186.662652,"Green_Algae",1,"seagreen"
"141","F",-1.742211,186.662652,"Brown_Algae",1,"chocolate4"
"142","F",-1.742211,186.662652,"Red_Algae",1,"firebrick"
"143","F",-1.742211,186.662652,"Barnacles",1,"bisque2"
"144","F",-1.742211,186.662652,"Tube_Worms",1,"gold"
"145","F",-1.840641,189.592585,"Green_Algae",1,"seagreen"
"146","F",-1.840641,189.592585,"Brown_Algae",1,"chocolate4"
"147","F",-1.840641,189.592585,"Red_Algae",1,"firebrick"
"148","F",-1.840641,189.592585,"Barnacles",1,"bisque2"
"149","F",-1.840641,189.592585,"Tube_Worms",1,"gold"
"150","F",-1.847203,192.552047,"Green_Algae",1,"seagreen"
"151","F",-1.847203,192.552047,"Brown_Algae",1,"chocolate4"
"152","F",-1.847203,192.552047,"Red_Algae",1,"firebrick"
"153","F",-1.847203,192.552047,"Barnacles",1,"bisque2"
"154","F",-1.847203,192.552047,"Tube_Worms",1,"gold"
"155","F",-1.866889,195.439327,"Green_Algae",1,"seagreen"
"156","F",-1.866889,195.439327,"Brown_Algae",1,"chocolate4"
"157","F",-1.866889,195.439327,"Red_Algae",1,"firebrick"
"158","F",-1.866889,195.439327,"Tube_Worms",1,"gold"
"159","F",-1.93579,198.283954,"Green_Algae",1,"seagreen"
"160","F",-1.93579,198.283954,"Brown_Algae",1,"chocolate4"
"161","F",-1.93579,198.283954,"Red_Algae",1,"firebrick"
"162","F",-1.93579,198.283954,"Tube_Worms",1,"gold"
"163","F",-1.975162,201.249978,"Green_Algae",1,"seagreen"
"164","F",-1.975162,201.249978,"Brown_Algae",1,"chocolate4"
"165","F",-1.975162,201.249978,"Red_Algae",1,"firebrick"
"166","F",-1.975162,201.249978,"Tube_Worms",1,"gold"
"167","F",-2.053906,204.186473,"Green_Algae",1,"seagreen"
"168","F",-2.053906,204.186473,"Brown_Algae",1,"chocolate4"
"169","F",-2.053906,204.186473,"Red_Algae",1,"firebrick"
"170","F",-2.053906,204.186473,"Tube_Worms",1,"gold"
"171","F",-2.053906,207.034381,"Green_Algae",1,"seagreen"
"172","F",-2.053906,207.034381,"Brown_Algae",1,"chocolate4"
"173","F",-2.053906,207.034381,"Red_Algae",1,"firebrick"
"174","F",-2.053906,207.034381,"Tube_Worms",1,"gold"
"175","F",-2.096559,209.980719,"Green_Algae",1,"seagreen"
"176","F",-2.096559,209.980719,"Brown_Algae",1,"chocolate4"
"177","F",-2.096559,209.980719,"Red_Algae",1,"firebrick"
"178","F",-2.096559,209.980719,"Tube_Worms",1,"gold"
"179","F",-2.158898,213.051735,"Green_Algae",1,"seagreen"
"180","F",-2.158898,213.051735,"Brown_Algae",1,"chocolate4"
"181","F",-2.158898,213.051735,"Red_Algae",1,"firebrick"
"182","F",-2.158898,213.051735,"Tube_Worms",1,"gold"
"183","F",-2.277014,215.916048,"Green_Algae",1,"seagreen"
"184","F",-2.277014,215.916048,"Brown_Algae",1,"chocolate4"
"185","F",-2.277014,215.916048,"Red_Algae",1,"firebrick"
"186","F",-2.277014,215.916048,"Tube_Worms",1,"gold"
"187","F",-2.408254,218.967378,"Green_Algae",1,"seagreen"
"188","F",-2.408254,218.967378,"Brown_Algae",1,"chocolate4"
"189","F",-2.408254,218.967378,"Red_Algae",1,"firebrick"
"190","F",-2.408254,218.967378,"Tube_Worms",1,"gold"
"191","F",-2.506684,221.857939,"Green_Algae",1,"seagreen"
"192","F",-2.506684,221.857939,"Brown_Algae",1,"chocolate4"
"193","F",-2.506684,221.857939,"Red_Algae",1,"firebrick"
"194","F",-2.506684,221.857939,"Tube_Worms",1,"gold"
"195","F",-2.703544,224.919112,"Green_Algae",1,"seagreen"
"196","F",-2.703544,224.919112,"Brown_Algae",1,"chocolate4"
"197","F",-2.703544,224.919112,"Red_Algae",1,"firebrick"
"198","F",-2.703544,224.919112,"Barnacles",1,"bisque2"
"199","F",-2.703544,224.919112,"Tube_Worms",1,"gold"
"200","F",-2.785569,227.796549,"Green_Algae",1,"seagreen"
"201","F",-2.785569,227.796549,"Brown_Algae",1,"chocolate4"
"202","F",-2.785569,227.796549,"Red_Algae",1,"firebrick"
"203","F",-2.785569,227.796549,"Tube_Worms",1,"gold"
"204","F",-2.949619,230.801945,"Green_Algae",1,"seagreen"
"205","F",-2.949619,230.801945,"Brown_Algae",1,"chocolate4"
"206","F",-2.949619,230.801945,"Red_Algae",1,"firebrick"
"207","F",-2.949619,230.801945,"Tube_Worms",1,"gold"
"208","F",-3.113669,233.758126,"Green_Algae",1,"seagreen"
"209","F",-3.113669,233.758126,"Brown_Algae",1,"chocolate4"
"210","F",-3.113669,233.758126,"Red_Algae",1,"firebrick"
"211","F",-3.113669,233.758126,"Tube_Worms",1,"gold"
"212","E",13.297893,0,"Bare",1,"black"
"213","E",12.887768,3.110388,"Bare",1,"black"
"214","E",12.56623,5.87299,"Bare",1,"black"
"215","E",12.100328,8.773394,"Bare",1,"black"
"216","E",11.706608,11.644269,"Bare",1,"black"
"217","E",11.326012,14.485615,"Bare",1,"black"
"218","E",10.889639,17.602565,"Bare",1,"black"
"219","E",10.522167,20.57187,"Bare",1,"black"
"220","E",10.161257,23.432902,"Bare",1,"black"
"221","E",9.721603,26.307058,"Bare",1,"black"
"222","E",9.295073,29.177933,"Bare",1,"black"
"223","E",8.907915,32.147238,"Bare",1,"black"
"224","E",8.442013,34.978741,"Bare",1,"black"
"225","E",8.107351,38.030071,"Bare",1,"black"
"226","E",7.723474,40.887822,"Barnacles",1,"bisque2"
"227","E",7.336316,43.844003,"Barnacles",1,"bisque2"
"228","E",6.873695,46.882209,"Barnacles",1,"bisque2"
"229","E",6.489818,49.867919,"Barnacles",1,"bisque2"
"230","E",6.027197,52.866753,"Barnacles",1,"bisque2"
"231","E",5.820494,55.681851,"Barnacles",1,"bisque2"
"232","E",5.344749,58.569131,"Green_Algae",1,"seagreen"
"233","E",5.344749,58.569131,"Barnacles",1,"bisque2"
"234","E",5.328344,61.620461,"Green_Algae",1,"seagreen"
"235","E",5.328344,61.620461,"Barnacles",1,"bisque2"
"236","E",4.563871,64.507741,"Green_Algae",1,"seagreen"
"237","E",4.563871,64.507741,"Barnacles",1,"bisque2"
"238","E",4.235771,67.39174,"Green_Algae",1,"seagreen"
"239","E",4.235771,67.39174,"Barnacles",1,"bisque2"
"240","E",3.865018,70.298706,"Green_Algae",1,"seagreen"
"241","E",3.865018,70.298706,"Red_Algae",1,"firebrick"
"242","E",3.865018,70.298706,"Barnacles",1,"bisque2"
"243","E",3.517232,73.146614,"Green_Algae",1,"seagreen"
"244","E",3.517232,73.146614,"Barnacles",1,"bisque2"
"245","E",3.097264,75.984679,"Green_Algae",1,"seagreen"
"246","E",3.097264,75.984679,"Barnacles",1,"bisque2"
"247","E",2.78885,78.944141,"Green_Algae",1,"seagreen"
"248","E",2.78885,78.944141,"Red_Algae",1,"firebrick"
"249","E",2.78885,78.944141,"Barnacles",1,"bisque2"
"250","E",2.414816,81.870793,"Green_Algae",1,"seagreen"
"251","E",2.414816,81.870793,"Red_Algae",1,"firebrick"
"252","E",2.414816,81.870793,"Barnacles",1,"bisque2"
"253","E",1.958757,84.840098,"Green_Algae",1,"seagreen"
"254","E",1.958757,84.840098,"Red_Algae",1,"firebrick"
"255","E",1.958757,84.840098,"Barnacles",1,"bisque2"
"256","E",1.538789,87.760188,"Green_Algae",1,"seagreen"
"257","E",1.538789,87.760188,"Red_Algae",1,"firebrick"
"258","E",1.538789,87.760188,"Barnacles",1,"bisque2"
"259","E",1.250061,90.778708,"Green_Algae",1,"seagreen"
"260","E",1.250061,90.778708,"Barnacles",1,"bisque2"
"261","E",0.905555999999999,93.613492,"Green_Algae",1,"seagreen"
"262","E",0.905555999999999,93.613492,"Barnacles",1,"bisque2"
"263","E",0.465901999999998,96.464681,"Green_Algae",1,"seagreen"
"264","E",0.465901999999998,96.464681,"Barnacles",1,"bisque2"
"265","E",0.0164049999999997,99.401176,"Green_Algae",1,"seagreen"
"266","E",0.0164049999999997,99.401176,"Barnacles",1,"bisque2"
"267","E",-0.367472,102.337671,"Green_Algae",1,"seagreen"
"268","E",-0.367472,102.337671,"Barnacles",1,"bisque2"
"269","E",-0.728382000000001,105.300414,"Green_Algae",1,"seagreen"
"270","E",-0.728382000000001,105.300414,"Barnacles",1,"bisque2"
"271","E",-0.728382000000001,105.300414,"Tube_Worms",1,"gold"
"272","E",-1.112259,108.243471,"Green_Algae",1,"seagreen"
"273","E",-1.112259,108.243471,"Red_Algae",1,"firebrick"
"274","E",-1.112259,108.243471,"Barnacles",1,"bisque2"
"275","E",-1.440359,111.015916,"Green_Algae",1,"seagreen"
"276","E",-1.440359,111.015916,"Red_Algae",1,"firebrick"
"277","E",-1.440359,111.015916,"Barnacles",1,"bisque2"
"278","E",-1.686434,113.837576,"Green_Algae",1,"seagreen"
"279","E",-1.686434,113.837576,"Red_Algae",1,"firebrick"
"280","E",-1.686434,113.837576,"Barnacles",1,"bisque2"
"281","E",-1.942352,116.675641,"Green_Algae",1,"seagreen"
"282","E",-1.942352,116.675641,"Red_Algae",1,"firebrick"
"283","E",-1.942352,116.675641,"Barnacles",1,"bisque2"
"284","E",-2.168741,119.891021,"Green_Algae",1,"seagreen"
"285","B",17.825673,0,"Barnacles",1,"bisque2"
"286","B",17.199002,2.664172,"Red_Algae",1,"firebrick"
"287","B",17.199002,2.664172,"Barnacles",1,"bisque2"
"288","B",16.749505,5.338187,"Red_Algae",1,"firebrick"
"289","B",16.749505,5.338187,"Barnacles",1,"bisque2"
"290","B",16.263917,8.025326,"Red_Algae",1,"firebrick"
"291","B",16.263917,8.025326,"Barnacles",1,"bisque2"
"292","B",15.857073,10.679655,"Red_Algae",1,"firebrick"
"293","B",15.857073,10.679655,"Barnacles",1,"bisque2"
"294","B",15.528973,13.340546,"Red_Algae",1,"firebrick"
"295","B",15.528973,13.340546,"Barnacles",1,"bisque2"
"296","B",15.276336,16.04409,"Barnacles",1,"bisque2"
"297","B",15.095881,18.764039,"Bare",1,"black"
"298","B",14.902302,21.592261,"Green_Algae",1,"seagreen"
"299","B",14.725128,24.37783,"Bare",1,"black"
"300","B",14.577483,27.074812,"Bare",1,"black"
"301","B",14.308441,29.801323,"Bare",1,"black"
"302","B",14.154234,32.586892,"Bare",1,"black"
"303","B",14.019713,35.457767,"Bare",1,"black"
"304","B",14.003308,38.315518,"Bare",1,"black"
"305","B",13.918002,41.114211,"Green_Algae",1,"seagreen"
"306","B",13.796605,43.83416,"Bare",1,"black"
"307","B",13.603026,46.619729,"Bare",1,"black"
"308","B",13.435695,49.333116,"Bare",1,"black"
"309","B",13.232273,52.03666,"Bare",1,"black"
"310","B",13.055099,54.740204,"Green_Algae",1,"seagreen"
"311","B",12.914016,57.453591,"Bare",1,"black"
"312","B",12.76309,60.23916,"Green_Algae",1,"seagreen"
"313","B",12.612164,62.92958,"Bare",1,"black"
"314","B",12.539982,65.665934,"Bare",1,"black"
"315","B",12.408742,68.402288,"Green_Algae",1,"seagreen"
"316","B",12.261097,71.076303,"Green_Algae",1,"seagreen"
"317","B",12.064237,73.773285,"Bare",1,"black"
"318","B",11.893625,76.516201,"Green_Algae",1,"seagreen"
"319","B",11.723013,79.239431,"Bare",1,"black"
"320","B",11.522872,81.985628,"Green_Algae",1,"seagreen"
"321","B",11.276797,84.666205,"Green_Algae",1,"seagreen"
"322","B",11.125871,87.297567,"Green_Algae",1,"seagreen"
"323","B",10.906044,89.961739,"Bare",1,"black"
"324","B",10.689498,92.694812,"Green_Algae",1,"seagreen"
"325","B",10.469671,95.391794,"Bare",1,"black"
"326","B",10.282654,98.151115,"Bare",1,"black"
"327","B",10.082513,100.851378,"Green_Algae",1,"seagreen"
"328","B",9.898777,103.558203,"Green_Algae",1,"seagreen"
"329","B",9.751132,106.258466,"Green_Algae",1,"seagreen"
"330","B",9.583801,108.984977,"Green_Algae",1,"seagreen"
"331","B",9.445999,111.744298,"Bare",1,"black"
"332","B",9.327883,114.5069,"Green_Algae",1,"seagreen"
"333","B",9.134304,117.207163,"Green_Algae",1,"seagreen"
"334","B",8.940725,119.917269,"Green_Algae",1,"seagreen"
"335","B",8.770113,122.614251,"Green_Algae",1,"seagreen"
"336","B",8.602782,125.3342,"Green_Algae",1,"seagreen"
"337","B",8.402641,128.011496,"Green_Algae",1,"seagreen"
"338","B",8.241872,130.64942,"Green_Algae",1,"seagreen"
"339","B",8.097508,133.280782,"Green_Algae",1,"seagreen"
"340","B",7.946582,135.977764,"Green_Algae",1,"seagreen"
"341","B",7.792375,138.72068,"Green_Algae",1,"seagreen"
"342","B",7.648011,141.430786,"Green_Algae",1,"seagreen"
"343","B",7.648011,141.430786,"Barnacles",1,"bisque2"
"344","B",7.487242,144.190107,"Green_Algae",1,"seagreen"
"345","B",7.31663,146.893651,"Green_Algae",1,"seagreen"
"346","B",7.132894,149.554542,"Green_Algae",1,"seagreen"
"347","B",6.939315,152.218714,"Green_Algae",1,"seagreen"
"348","B",6.778546,154.889448,"Green_Algae",1,"seagreen"
"349","B",6.578405,157.543777,"Green_Algae",1,"seagreen"
"350","B",6.411074,160.165296,"Green_Algae",1,"seagreen"
"351","B",6.178123,162.895088,"Green_Algae",1,"seagreen"
"352","B",6.014073,165.555979,"Green_Algae",1,"seagreen"
"353","B",5.781122,168.28249,"Green_Algae",1,"seagreen"
"354","B",5.603948,170.959786,"Green_Algae",1,"seagreen"
"355","B",5.400526,173.689578,"Green_Algae",1,"seagreen"
"356","B",5.190542,176.35375,"Green_Algae",1,"seagreen"
"357","B",5.049459,179.057294,"Green_Algae",1,"seagreen"
"358","B",4.82307,181.728028,"Green_Algae",1,"seagreen"
"359","B",4.82307,181.728028,"Tube_Worms",1,"gold"
"360","B",4.629491,184.431572,"Green_Algae",1,"seagreen"
"361","B",4.629491,184.431572,"Tube_Worms",1,"gold"
"362","B",4.435912,187.161364,"Green_Algae",1,"seagreen"
"363","B",4.435912,187.161364,"Tube_Worms",1,"gold"
"364","B",4.245614,189.858346,"Green_Algae",1,"seagreen"
"365","B",4.245614,189.858346,"Tube_Worms",1,"gold"
"366","B",4.058597,192.506113,"Green_Algae",1,"seagreen"
"367","B",4.058597,192.506113,"Tube_Worms",1,"gold"
"368","B",3.881423,195.2195,"Green_Algae",1,"seagreen"
"369","B",3.881423,195.2195,"Tube_Worms",1,"gold"
"370","B",3.681282,197.995226,"Green_Algae",1,"seagreen"
"371","B",3.681282,197.995226,"Tube_Worms",1,"gold"
"372","B",3.530356,200.702051,"Green_Algae",1,"seagreen"
"373","B",3.530356,200.702051,"Red_Algae",1,"firebrick"
"374","B",3.530356,200.702051,"Tube_Worms",1,"gold"
"375","B",3.317091,203.346537,"Green_Algae",1,"seagreen"
"376","B",3.317091,203.346537,"Tube_Worms",1,"gold"
"377","B",3.123512,205.984461,"Green_Algae",1,"seagreen"
"378","B",3.123512,205.984461,"Tube_Worms",1,"gold"
"379","B",3.011958,208.714253,"Green_Algae",1,"seagreen"
"380","B",3.011958,208.714253,"Tube_Worms",1,"gold"
"381","B",2.916809,211.404673,"Green_Algae",1,"seagreen"
"382","B",2.916809,211.404673,"Tube_Worms",1,"gold"
"383","B",2.719949,214.101655,"Green_Algae",1,"seagreen"
"384","B",2.719949,214.101655,"Tube_Worms",1,"gold"
"385","B",2.523089,216.854414,"Green_Algae",1,"seagreen"
"386","B",2.523089,216.854414,"Tube_Worms",1,"gold"
"387","B",2.385287,219.649826,"Green_Algae",1,"seagreen"
"388","B",2.385287,219.649826,"Tube_Worms",1,"gold"
"389","B",2.191708,222.327122,"Green_Algae",1,"seagreen"
"390","B",2.191708,222.327122,"Tube_Worms",1,"gold"
"391","B",1.998129,225.040509,"Green_Algae",1,"seagreen"
"392","B",1.998129,225.040509,"Tube_Worms",1,"gold"
"393","B",1.784864,227.714524,"Green_Algae",1,"seagreen"
"394","B",1.784864,227.714524,"Red_Algae",1,"firebrick"
"395","B",1.784864,227.714524,"Tube_Worms",1,"gold"
"396","B",1.614252,230.503374,"Green_Algae",1,"seagreen"
"397","B",1.614252,230.503374,"Tube_Worms",1,"gold"
"398","B",1.417392,233.233166,"Green_Algae",1,"seagreen"
"399","B",1.417392,233.233166,"Tube_Worms",1,"gold"
"400","B",1.227094,235.907181,"Green_Algae",1,"seagreen"
"401","B",1.227094,235.907181,"Tube_Worms",1,"gold"
"402","B",1.036796,238.59432,"Green_Algae",1,"seagreen"
"403","B",1.036796,238.59432,"Tube_Worms",1,"gold"
"404","B",0.905555999999996,241.274897,"Green_Algae",1,"seagreen"
"405","B",0.905555999999996,241.274897,"Tube_Worms",1,"gold"
"406","B",0.754630000000001,243.912821,"Green_Algae",1,"seagreen"
"407","B",0.754630000000001,243.912821,"Tube_Worms",1,"gold"
"408","B",0.561050999999998,246.642613,"Green_Algae",1,"seagreen"
"409","B",0.561050999999998,246.642613,"Red_Algae",1,"firebrick"
"410","B",0.561050999999998,246.642613,"Tube_Worms",1,"gold"
"411","B",0.39372,249.444587,"Green_Algae",1,"seagreen"
"412","B",0.39372,249.444587,"Tube_Worms",1,"gold"
"413","B",0.242794,252.262966,"Green_Algae",1,"seagreen"
"414","B",0.242794,252.262966,"Tube_Worms",1,"gold"
"415","B",0.154206999999999,255.06494,"Green_Algae",1,"seagreen"
"416","B",0.154206999999999,255.06494,"Red_Algae",1,"firebrick"
"417","B",0.154206999999999,255.06494,"Tube_Worms",1,"gold"
"418","B",0.0164049999999997,257.880038,"Green_Algae",1,"seagreen"
"419","B",0.0164049999999997,257.880038,"Tube_Worms",1,"gold"
"420","B",-0.13124,260.711541,"Green_Algae",1,"seagreen"
"421","B",-0.13124,260.711541,"Tube_Worms",1,"gold"
"422","B",-0.275604000000002,263.539763,"Green_Algae",1,"seagreen"
"423","B",-0.275604000000002,263.539763,"Tube_Worms",1,"gold"
"424","B",-0.410125,266.407357,"Green_Algae",1,"seagreen"
"425","B",-0.410125,266.407357,"Tube_Worms",1,"gold"
"426","B",-0.544646000000001,269.330728,"Green_Algae",1,"seagreen"
"427","B",-0.544646000000001,269.330728,"Red_Algae",1,"firebrick"
"428","B",-0.544646000000001,269.330728,"Tube_Worms",1,"gold"
"429","B",-0.698853,272.237694,"Tube_Worms",1,"gold"
"430","C",16.43781,0,"Barnacles",1,"bisque2"
"431","C",16.096586,2.736354,"Brown_Algae",1,"chocolate4"
"432","C",16.096586,2.736354,"Barnacles",1,"bisque2"
"433","C",15.78161,5.34803,"Brown_Algae",1,"chocolate4"
"434","C",15.78161,5.34803,"Barnacles",1,"bisque2"
"435","C",15.417419,7.979392,"Brown_Algae",1,"chocolate4"
"436","C",15.417419,7.979392,"Barnacles",1,"bisque2"
"437","C",15.004013,10.709184,"Bare",1,"black"
"438","C",14.629979,13.41929,"Barnacles",1,"bisque2"
"439","C",14.229697,16.116272,"Barnacles",1,"bisque2"
"440","C",13.947531,18.744353,"Barnacles",1,"bisque2"
